City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Tautira,PF,-17.7333,-149.15,80.62,68,20,15.84,few clouds
81,Muroto,JP,33.2833,134.15,82.44,74,100,17.31,overcast clouds
82,Labrea,BR,-7.2586,-64.7981,74.14,85,96,3.44,overcast clouds
83,Strezhevoy,RU,60.7333,77.5889,31.98,70,100,5.28,overcast clouds
84,Souillac,MU,-20.5167,57.5167,73.78,68,40,12.66,scattered clouds
85,Road Town,VG,18.4167,-64.6167,81.19,69,3,11.92,clear sky
86,Nikolskoye,RU,59.7035,30.7861,42.69,95,6,3.87,clear sky
87,Empangeni,ZA,-28.762,31.8933,62.82,91,100,1.97,light rain
88,Carroll,US,39.5501,-77.0164,57.13,83,1,1.48,clear sky
89,Port Hardy,CA,50.6996,-127.4199,51.98,93,90,19.57,heavy intensity rain
90,Fairbanks,US,64.8378,-147.7164,31.1,77,90,0.0,overcast clouds
91,Poya,NC,-21.35,165.15,78.84,55,19,6.87,few clouds
92,Tomatlan,MX,19.9333,-105.25,74.97,91,64,3.13,broken clouds
93,Ostrovnoy,RU,68.0531,39.5131,41.5,92,45,6.78,scattered clouds
94,Suntar,RU,62.1444,117.6319,39.52,56,15,6.2,few clouds
95,Portland,US,45.5234,-122.6762,63.41,76,90,4.61,light rain
96,Kidal,ML,18.4411,1.4078,84.7,19,47,11.88,scattered clouds
97,Orlik,RU,52.5178,99.825,41.72,26,0,1.63,clear sky
98,Nouakchott,MR,18.0858,-15.9785,80.53,89,0,15.88,clear sky
99,Clinton,US,42.587,-82.9199,60.03,84,20,4.61,few clouds
100,Narsaq,GL,60.9167,-46.05,32.22,42,17,4.25,few clouds
101,Maningrida,AU,-12.0667,134.2667,88.2,53,10,12.8,clear sky
102,Moose Factory,CA,51.2585,-80.6094,44.6,100,40,3.44,scattered clouds
103,Chase,CA,50.8165,-119.6857,56.95,94,100,4.38,overcast clouds
104,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,90,16.11,overcast clouds
105,Hauge,NO,58.3436,6.2812,54.59,83,98,4.97,light rain
106,Bundaberg,AU,-24.85,152.35,79.09,50,40,17.27,light rain
107,Ploemeur,FR,47.7333,-3.4333,43.95,93,20,4.61,few clouds
108,Alugan,PH,12.2188,125.4808,84.9,73,66,1.79,light rain
109,Ponta Do Sol,PT,32.6667,-17.1,72.23,69,13,9.28,few clouds
110,Sistranda,NO,63.7256,8.834,56.89,75,100,14.52,overcast clouds
111,Palmer,US,42.1584,-72.3287,54.46,83,75,0.0,broken clouds
112,Chingola,ZM,-12.529,27.8838,65.86,41,19,5.12,few clouds
113,Codrington,AU,-38.2667,141.9667,56.8,97,100,8.97,overcast clouds
114,Kristiansund,NO,63.1115,7.732,54.25,66,90,6.91,overcast clouds
115,Victoria,HK,22.2855,114.1577,93.96,78,3,7.0,clear sky
116,Bredasdorp,ZA,-34.5322,20.0403,56.28,83,100,17.11,overcast clouds
117,Turukhansk,RU,65.8167,87.9833,37.96,67,15,7.34,few clouds
118,Saint George,US,37.1041,-113.5841,69.64,19,1,5.01,clear sky
119,Berlin,DE,52.5244,13.4105,50.09,84,0,13.0,clear sky
120,Goure,NE,13.9835,10.2704,76.01,53,91,3.83,overcast clouds
121,Airai,TL,-8.9266,125.4092,82.11,30,10,4.99,clear sky
122,Murdochville,CA,48.9583,-65.5006,45.48,95,92,6.53,overcast clouds
123,Mezen,RU,65.8522,44.24,43.66,94,83,6.17,broken clouds
124,Saskylakh,RU,71.9167,114.0833,29.77,83,99,5.48,overcast clouds
125,Grand Gaube,MU,-20.0064,57.6608,73.8,77,5,7.0,clear sky
126,Port Alfred,ZA,-33.5906,26.891,60.03,83,100,21.0,light rain
127,Opuwo,NA,-18.0607,13.84,63.95,30,2,3.78,clear sky
128,Alvaraes,BR,-3.2208,-64.8042,72.59,94,80,1.32,broken clouds
129,Takoradi,GH,4.8845,-1.7554,74.79,93,49,5.53,scattered clouds
130,Lompoc,US,34.6391,-120.4579,66.85,85,1,6.91,clear sky
131,Katangli,RU,51.7102,143.2326,64.63,73,84,11.16,light rain
132,Cabo San Lucas,MX,22.8909,-109.9124,82.51,70,5,9.19,clear sky
133,Ullapool,GB,57.8987,-5.1604,47.35,93,100,8.12,light rain
134,Funtua,NG,11.5233,7.3081,68.85,86,56,6.02,broken clouds
135,Meadow Lake,US,34.8014,-106.5436,67.48,46,50,2.46,scattered clouds
136,Troitsko-Pechorsk,RU,62.7084,56.1964,39.96,90,96,3.91,overcast clouds
137,Tulle,FR,45.3333,1.8333,44.35,85,95,3.44,overcast clouds
138,Banda Aceh,ID,5.5577,95.3222,83.7,72,100,10.4,light rain
139,Masallatah,LY,32.6167,14.0,71.78,77,7,11.92,clear sky
140,Milkovo,RU,54.7167,158.6167,48.58,64,97,3.51,overcast clouds
141,Cape Town,ZA,-33.9258,18.4232,58.12,65,0,2.3,clear sky
142,Lake City,US,30.1897,-82.6393,73.0,88,1,3.44,clear sky
143,Bandarbeyla,SO,9.4942,50.8122,81.32,70,100,23.47,overcast clouds
144,Mount Gambier,AU,-37.8333,140.7667,55.31,94,90,17.27,mist
145,Bambous Virieux,MU,-20.3428,57.7575,73.65,68,40,12.66,scattered clouds
