City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Qaanaaq,77.484,-69.3632,18.9,81,11,4.43,GL,2021-09-29 14:47:12
68,Pinotepa Nacional,16.3167,-98.0167,81.16,74,100,1.7,MX,2021-09-29 14:47:12
69,Baghdad,33.3406,44.4009,100.31,16,0,8.05,IQ,2021-09-29 14:47:12
70,Eureka,40.8021,-124.1637,52.75,94,99,3.62,US,2021-09-29 14:47:13
71,Ancud,-41.8697,-73.8203,45.93,70,100,9.57,CL,2021-09-29 14:46:36
72,Cayenne,4.9333,-52.3333,89.64,77,75,3.0,GF,2021-09-29 14:47:13
73,Busselton,-33.65,115.3333,57.04,90,5,7.7,AU,2021-09-29 14:47:13
74,Forrest City,35.0081,-90.7898,75.06,70,64,5.3,US,2021-09-29 14:47:13
75,Carnarvon,-24.8667,113.6333,69.87,83,8,6.91,AU,2021-09-29 14:47:14
76,Plouzane,48.3833,-4.6167,60.98,59,75,11.5,FR,2021-09-29 14:47:14
77,Stokmarknes,68.5646,14.9108,55.36,71,0,6.91,NO,2021-09-29 14:47:14
78,Hilo,19.7297,-155.09,77.29,82,1,8.05,US,2021-09-29 14:44:10
79,Grindavik,63.8424,-22.4338,43.27,75,75,29.93,IS,2021-09-29 14:47:15
80,Lizzano,40.391,17.4476,83.61,56,20,8.05,IT,2021-09-29 14:47:15
81,Xicotencatl,23.0167,-98.8833,80.71,80,72,5.68,MX,2021-09-29 14:47:15
82,Bandarbeyla,9.4942,50.8122,79.93,77,38,21.27,SO,2021-09-29 14:47:16
83,San Patricio,28.017,-97.5169,75.06,72,57,11.52,US,2021-09-29 14:47:16
84,Yershov,51.3513,48.2766,45.52,48,83,6.44,RU,2021-09-29 14:47:16
85,Kruisfontein,-34.0033,24.7314,54.88,81,100,18.34,ZA,2021-09-29 14:47:17
86,Saskylakh,71.9167,114.0833,23.99,89,100,4.56,RU,2021-09-29 14:47:17
87,Labuhan,-6.8844,112.2051,82.06,75,74,6.96,ID,2021-09-29 14:47:17
88,Puerto Ayora,-0.7393,-90.3518,71.56,85,98,8.16,EC,2021-09-29 14:47:17
89,Katsuura,35.1333,140.3,74.1,73,100,7.36,JP,2021-09-29 14:47:18
90,Clyde River,70.4692,-68.5914,32.23,93,75,23.02,CA,2021-09-29 14:47:18
91,Mahebourg,-20.4081,57.7,73.69,73,40,9.22,MU,2021-09-29 14:47:18
92,Puncan,15.9071,120.9907,74.88,94,50,1.66,PH,2021-09-29 14:47:19
93,Oudtshoorn,-33.5907,22.2014,53.96,80,92,14.99,ZA,2021-09-29 14:47:19
94,Kavieng,-2.5744,150.7967,81.97,80,48,13.94,PG,2021-09-29 14:47:20
95,Tasiilaq,65.6145,-37.6368,41.16,64,48,3.36,GL,2021-09-29 14:47:20
96,Bengkulu,-3.8004,102.2655,76.26,90,100,5.95,ID,2021-09-29 14:47:20
97,Cordoba,-31.4135,-64.1811,75.6,61,75,8.01,AR,2021-09-29 14:45:15
98,Manokwari,-0.8667,134.0833,78.96,79,38,3.87,ID,2021-09-29 14:47:21
99,Makakilo City,21.3469,-158.0858,75.56,70,1,4.61,US,2021-09-29 14:47:21
100,Namatanai,-3.6667,152.4333,79.61,82,78,8.32,PG,2021-09-29 14:47:21
101,Saint-Philippe,-21.3585,55.7679,73.22,77,49,13.35,RE,2021-09-29 14:47:21
102,Chegdomyn,51.1167,133.0167,42.12,93,100,0.45,RU,2021-09-29 14:47:22
103,Sitka,57.0531,-135.33,51.69,54,90,18.41,US,2021-09-29 14:47:22
104,Kodiak,57.79,-152.4072,39.83,84,17,7.81,US,2021-09-29 14:45:03
105,Lobito,-12.3481,13.5456,73.8,75,8,10.47,AO,2021-09-29 14:47:22
106,Novolakskoye,43.1195,46.4828,51.42,86,100,4.05,RU,2021-09-29 14:47:23
107,Motozintla,15.3667,-92.2333,73.33,62,97,1.99,MX,2021-09-29 14:47:23
108,Lebu,-37.6167,-73.65,54.23,59,1,6.29,CL,2021-09-29 14:47:23
109,Erzin,36.9559,36.2,81.32,76,6,8.37,TR,2021-09-29 14:47:24
110,Nalut,30.3333,10.85,95.52,12,0,14.85,LY,2021-09-29 14:47:24
111,Sistranda,63.7256,8.834,61.9,66,47,3.71,NO,2021-09-29 14:47:24
112,Maldonado,-34.6667,-54.9167,64.22,57,0,10.54,UY,2021-09-29 14:47:25
113,Hofn,64.2539,-15.2082,44.62,76,20,10.36,IS,2021-09-29 14:47:25
114,Halifax,44.6453,-63.5724,59.0,93,90,3.0,CA,2021-09-29 14:43:38
115,Badhni Kalan,30.6833,75.2833,86.36,62,19,5.17,IN,2021-09-29 14:47:25
116,Dunedin,-45.8742,170.5036,42.8,71,67,12.62,NZ,2021-09-29 14:46:40
117,Mogadishu,2.0371,45.3438,82.27,89,20,16.11,SO,2021-09-29 14:44:38
118,Kibaya,-5.3,36.5667,73.2,43,79,11.12,TZ,2021-09-29 14:47:26
119,Okhotsk,59.3833,143.3,41.0,65,100,25.81,RU,2021-09-29 14:47:26
120,Sao Joao Da Barra,-21.6403,-41.0511,84.29,69,0,18.57,BR,2021-09-29 14:47:26
121,Aklavik,68.2191,-135.0107,29.23,80,98,8.9,CA,2021-09-29 14:47:27
122,Maniitsoq,65.4167,-52.9,34.29,54,4,1.3,GL,2021-09-29 14:47:27
123,Kailua,21.4022,-157.7394,77.02,71,20,8.05,US,2021-09-29 14:47:27
124,Port Lincoln,-34.7333,135.8667,56.17,90,34,9.06,AU,2021-09-29 14:44:50
125,Kasongo-Lunda,-6.4667,16.8167,93.6,36,100,4.03,CD,2021-09-29 14:47:28
126,Russell,32.3502,-85.1999,79.0,81,1,0.0,US,2021-09-29 14:45:23
127,Jamestown,42.097,-79.2353,61.3,82,1,3.44,US,2021-09-29 14:44:00
128,Kosjeric,43.9961,19.9069,67.35,88,75,8.05,RS,2021-09-29 14:47:28
129,Lucea,18.451,-78.1736,85.86,67,0,2.68,JM,2021-09-29 14:47:29
130,Vardo,70.3705,31.1107,51.55,71,0,12.66,NO,2021-09-29 14:47:29
131,Hobart,-42.8794,147.3294,49.86,81,90,4.61,AU,2021-09-29 14:46:55
132,Ponta Do Sol,32.6667,-17.1,80.13,42,0,6.44,PT,2021-09-29 14:47:29
133,Tongchuan,35.0806,109.0897,66.22,69,93,2.17,CN,2021-09-29 14:47:30
134,Cabo San Lucas,22.8909,-109.9124,82.51,69,16,10.78,MX,2021-09-29 14:47:30
135,Chokurdakh,70.6333,147.9167,9.91,100,81,1.63,RU,2021-09-29 14:47:30
136,Grand Gaube,-20.0064,57.6608,73.8,68,40,5.99,MU,2021-09-29 14:47:31
137,Chuy,-33.6971,-53.4616,61.84,68,97,9.69,UY,2021-09-29 14:47:31
138,Eskilstuna,59.3666,16.5077,56.98,81,100,7.0,SE,2021-09-29 14:47:31
139,Norman Wells,65.282,-126.8329,26.64,86,75,3.44,CA,2021-09-29 14:45:04
140,Avarua,-21.2078,-159.775,68.05,94,100,2.3,CK,2021-09-29 14:47:31
141,Bethel,41.3712,-73.414,62.65,69,1,1.01,US,2021-09-29 14:46:09
142,Kangaba,11.9333,-8.4167,93.6,40,16,1.03,ML,2021-09-29 14:47:32
143,Kushima,31.4583,131.2333,74.21,89,49,7.63,JP,2021-09-29 14:47:32
144,Lompoc,34.6391,-120.4579,61.92,85,1,4.61,US,2021-09-29 14:47:32
145,Avera,33.194,-82.5271,78.67,55,0,3.6,US,2021-09-29 14:47:33
146,Kirksville,40.1948,-92.5833,72.59,77,1,3.0,US,2021-09-29 14:47:33
147,Maragogi,-9.0122,-35.2225,79.41,78,75,11.39,BR,2021-09-29 14:47:33
148,Husavik,66.0449,-17.3389,44.51,66,100,22.46,IS,2021-09-29 14:47:34
149,Surin,14.8818,103.4936,81.21,78,85,4.63,TH,2021-09-29 14:47:34
150,Shelburne,44.0787,-80.2041,59.67,85,0,10.83,CA,2021-09-29 14:46:36
151,Choix,26.7092,-108.3219,75.87,67,0,3.13,MX,2021-09-29 14:47:35
152,Kislovodsk,43.9133,42.7208,47.84,97,100,8.68,RU,2021-09-29 14:47:35
153,Surgut,61.25,73.4167,37.58,81,0,6.71,RU,2021-09-29 14:47:35
154,Fukue,32.6881,128.8419,77.68,81,2,7.18,JP,2021-09-29 14:47:36
155,San Vicente,-26.6167,-54.1333,82.71,45,18,3.6,AR,2021-09-29 14:47:36
156,Caravelas,-17.7125,-39.2481,83.8,51,8,10.29,BR,2021-09-29 14:47:36
157,Luxor,25.6989,32.6421,92.34,12,0,18.48,EG,2021-09-29 14:47:37
158,Dongfeng,42.6403,125.5118,46.87,92,10,3.33,CN,2021-09-29 14:47:37
159,Wau,7.7029,27.9953,86.02,65,100,2.28,SS,2021-09-29 14:47:37
160,Cidreira,-30.1811,-50.2056,66.27,88,95,11.5,BR,2021-09-29 14:47:37
